DATE,LTP
2024-01-25,1151.0
2024-01-24,1123.25
2024-01-23,1142.0
2024-01-20,1190.9
2024-01-19,1153.0
2024-01-18,1155.0
2024-01-17,1169.9
2024-01-16,1194.5
2024-01-15,1203.6
2024-01-12,1207.0
2024-01-11,1204.0
2024-01-10,1215.2
2024-01-09,1200.95
2024-01-08,1172.4
2024-01-05,1153.0
2024-01-04,1122.0
2024-01-03,1095.4
2024-01-02,1079.0
2024-01-01,1041.1
2023-12-29,1023.0
2023-12-28,1019.95
2023-12-27,1025.5
2023-12-26,1027.0
2023-12-22,1028.0
2023-12-21,1025.45
2023-12-20,1007.0
2023-12-19,1075.0
2023-12-18,1090.0
2023-12-15,1078.0
2023-12-14,1073.0
2023-12-13,1074.0
2023-12-12,1039.55
2023-12-11,1033.4
2023-12-08,1021.1
2023-12-07,1044.0
2023-12-06,1020.5
2023-12-05,1010.0
2023-12-04,878.7
2023-12-01,827.0
2023-11-30,827.2
2023-11-29,835.15
2023-11-28,840.5
2023-11-24,801.0
2023-11-23,793.2
2023-11-22,792.0
2023-11-21,801.0
2023-11-20,802.7
2023-11-17,810.0
2023-11-16,814.0
2023-11-15,811.0
2023-11-13,810.35
2023-11-12,811.6
2023-11-10,809.95
2023-11-09,806.05
2023-11-08,817.2
2023-11-07,798.05
2023-11-06,802.0
2023-11-03,795.0
2023-11-02,775.4
2023-11-01,769.0
2023-10-31,784.5
2023-10-30,784.7
2023-10-27,782.35
2023-10-26,771.75
2023-10-25,771.0
2023-10-23,771.0
2023-10-20,792.3
2023-10-19,790.9
2023-10-18,798.5
2023-10-17,805.75
2023-10-16,804.0
2023-10-13,811.5
2023-10-12,813.85
2023-10-11,819.0
2023-10-10,818.0
2023-10-09,788.5
2023-10-06,830.5
2023-10-05,825.0
2023-10-04,824.0
2023-10-03,831.65
2023-09-29,826.0
2023-09-28,826.2
2023-09-27,830.1
2023-09-26,822.05
2023-09-25,824.6
2023-09-22,824.0
2023-09-21,832.3
2023-09-20,820.7
2023-09-18,830.45
2023-09-15,844.95
2023-09-14,845.0
2023-09-13,847.35
2023-09-12,858.0
2023-09-11,883.55
2023-09-08,823.0
2023-09-07,810.6
2023-09-06,804.0
2023-09-05,804.5
2023-09-04,800.2
2023-09-01,799.0
2023-08-31,792.7
2023-08-30,817.5
2023-08-29,820.9
2023-08-28,807.85
2023-08-25,806.0
2023-08-24,823.4
2023-08-23,830.05
2023-08-22,857.2
2023-08-21,857.55
2023-08-18,834.0
2023-08-17,810.5
2023-08-16,774.85
2023-08-14,784.0
2023-08-11,799.65
2023-08-10,804.0
2023-08-09,793.0
2023-08-08,783.0
2023-08-07,789.4
2023-08-04,774.55
2023-08-03,777.0
2023-08-02,761.5
2023-08-01,765.05
